mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
25.776,0.665,1.287,0.132,0.705,0.052,2.177,35.21,0.0
31.177,0.778,0.52,0.096,0.54,0.058,1.214,34.908,0.0
30.765,0.814,0.379,0.083,0.466,0.057,0.985,35.077,0.0
30.315,0.833,0.32,0.074,0.414,0.054,0.862,35.362,0.0
30.319,0.851,0.303,0.068,0.371,0.054,0.797,35.467,0.0
29.691,0.864,0.237,0.065,0.366,0.053,0.721,33.82,0.0
29.629,0.875,0.187,0.06,0.324,0.054,0.625,34.089,0.0
29.406,0.883,0.162,0.056,0.313,0.058,0.589,35.136,0.0
30.142,0.874,0.149,0.053,0.323,0.055,0.581,34.987,0.0
30.194,0.894,0.145,0.051,0.294,0.051,0.541,35.491,0.0
30.381,0.888,0.142,0.049,0.297,0.051,0.539,35.265,0.0
29.768,0.894,0.134,0.048,0.285,0.053,0.521,34.312,0.0
30.291,0.893,0.13,0.046,0.291,0.054,0.522,33.773,0.0
29.935,0.891,0.126,0.044,0.293,0.057,0.52,34.381,0.0
30.485,0.899,0.121,0.044,0.277,0.05,0.492,35.084,0.0
30.164,0.902,0.114,0.042,0.257,0.048,0.461,35.017,0.0
30.042,0.899,0.113,0.042,0.274,0.056,0.484,35.246,0.0
30.51,0.901,0.111,0.041,0.261,0.051,0.463,35.324,0.0
30.406,0.901,0.107,0.04,0.274,0.058,0.479,35.233,0.0
30.364,0.897,0.109,0.039,0.277,0.056,0.481,35.592,0.0
29.943,0.91,0.105,0.038,0.24,0.053,0.437,35.396,0.0
30.179,0.907,0.103,0.037,0.249,0.054,0.443,35.749,0.0
30.101,0.902,0.103,0.037,0.265,0.053,0.459,36.183,0.0
30.227,0.905,0.103,0.036,0.262,0.051,0.453,36.336,0.0
